image_id,time_s,label,w,h,cx,cy,cx_n,cy_n,area,area_norm,solidity,aspect_ratio,circularity,bbox_x,bbox_y,bbox_w,bbox_h,extent,mask_fuse,finger_count,prior_nboxes,theta_rad,dtheta_rad,theta_accum_rad,rot_dir,path_raw,path_crop,path_mask,path_overlay
1762602125661_000016,1762602126,cw,960,544,498.126,442.612,0.51888,0.81362,53883,0.103178,0.86709,1.51351,0.52616,320,322,336,222,0.72238,AND,1,1,2.921315,0.08213,0.008985,0,data\data_cw\images_raw\1762602125661_000016.jpg,data\data_cw\images_crop\1762602125661_000016.jpg,data\data_cw\masks\1762602125661_000016.png,data\data_cw\overlays\1762602125661_000016.jpg
1762602125851_000017,1762602126,cw,960,544,496.428,351.799,0.51711,0.64669,42892,0.082132,0.81203,1.56621,0.50055,309,252,343,219,0.57101,AND,0,2,-2.722016,0.277333,0,1,data\data_cw\images_raw\1762602125851_000017.jpg,data\data_cw\images_crop\1762602125851_000017.jpg,data\data_cw\masks\1762602125851_000017.png,data\data_cw\overlays\1762602125851_000017.jpg
1762602126033_000018,1762602126,cw,960,544,535.524,281.231,0.55784,0.51697,43905,0.084071,0.8681,1.18391,0.56178,366,163,309,261,0.5444,AND,0,1,-2.130805,0.387191,0,1,data\data_cw\images_raw\1762602126033_000018.jpg,data\data_cw\images_crop\1762602126033_000018.jpg,data\data_cw\masks\1762602126033_000018.png,data\data_cw\overlays\1762602126033_000018.jpg
1762602126257_000019,1762602126,cw,960,544,612.524,285.032,0.63805,0.52396,45898,0.087888,0.93112,1.01527,0.63906,482,163,266,262,0.65859,AND,1,1,-1.452513,0.489076,0,1,data\data_cw\images_raw\1762602126257_000019.jpg,data\data_cw\images_crop\1762602126257_000019.jpg,data\data_cw\masks\1762602126257_000019.png,data\data_cw\overlays\1762602126257_000019.jpg
1762602126444_000020,1762602126,cw,960,544,677.921,356.184,0.70617,0.65475,52293,0.100133,0.93532,0.69909,0.66073,572,173,230,329,0.69107,AND,0,1,0,0.489076,0,0,data\data_cw\images_raw\1762602126444_000020.jpg,data\data_cw\images_crop\1762602126444_000020.jpg,data\data_cw\masks\1762602126444_000020.png,data\data_cw\overlays\1762602126444_000020.jpg
1762602126676_000021,1762602127,cw,960,544,648.541,456.265,0.67556,0.83872,38007,0.072777,0.85464,1.5,0.34369,507,346,297,198,0.64631,AND,0,1,1.195298,1.244633,0,1,data\data_cw\images_raw\1762602126676_000021.jpg,data\data_cw\images_crop\1762602126676_000021.jpg,data\data_cw\masks\1762602126676_000021.png,data\data_cw\overlays\1762602126676_000021.jpg
1762602126870_000022,1762602127,cw,960,544,561.154,457.677,0.58454,0.84132,47000,0.089997,0.90479,1.71066,0.575,397,347,337,197,0.70795,AND,0,2,2.218258,1.167048,0,1,data\data_cw\images_raw\1762602126870_000022.jpg,data\data_cw\images_crop\1762602126870_000022.jpg,data\data_cw\masks\1762602126870_000022.png,data\data_cw\overlays\1762602126870_000022.jpg
1762602126951_000023,1762602127,cw,960,544,536.497,434.113,0.55885,0.798,77021,0.147483,0.64845,2.5206,0.15031,175,277,673,267,0.42863,AND,1,0,2.630176,0.902752,0,1,data\data_cw\images_raw\1762602126951_000023.jpg,data\data_cw\images_crop\1762602126951_000023.jpg,data\data_cw\masks\1762602126951_000023.png,data\data_cw\overlays\1762602126951_000023.jpg
1762602127259_000024,1762602127,cw,960,544,546.539,310.191,0.56931,0.5702,47260,0.090495,0.85541,1.13636,0.53122,378,165,325,286,0.50845,AND,0,1,-2.106657,1.128012,0,1,data\data_cw\images_raw\1762602127259_000024.jpg,data\data_cw\images_crop\1762602127259_000024.jpg,data\data_cw\masks\1762602127259_000024.png,data\data_cw\overlays\1762602127259_000024.jpg
1762602127451_000025,1762602127,cw,960,544,635.13,286.668,0.66159,0.52696,47085,0.090161,0.9376,0.98479,0.67895,504,163,259,263,0.69124,AND,0,1,-1.15393,1.066662,0,1,data\data_cw\images_raw\1762602127451_000025.jpg,data\data_cw\images_crop\1762602127451_000025.jpg,data\data_cw\masks\1762602127451_000025.png,data\data_cw\overlays\1762602127451_000025.jpg
1762602127672_000026,1762602128,cw,960,544,695.212,349.945,0.72418,0.64328,55191,0.105681,0.93634,0.72673,0.6623,584,165,242,333,0.68487,AND,0,1,-0.210726,1.023452,0,1,data\data_cw\images_raw\1762602127672_000026.jpg,data\data_cw\images_crop\1762602127672_000026.jpg,data\data_cw\masks\1762602127672_000026.png,data\data_cw\overlays\1762602127672_000026.jpg
1762602127869_000027,1762602128,cw,960,544,665.861,439.25,0.6936,0.80745,48025,0.09196,0.96065,1.10169,0.63198,541,308,260,236,0.78268,AND,0,1,0.93031,1.064606,0,1,data\data_cw\images_raw\1762602127869_000027.jpg,data\data_cw\images_crop\1762602127869_000027.jpg,data\data_cw\masks\1762602127869_000027.png,data\data_cw\overlays\1762602127869_000027.jpg
1762602128078_000028,1762602128,cw,960,544,595.888,456.789,0.62072,0.83969,48864,0.093567,0.88566,1.76471,0.54366,411,340,360,204,0.66537,AND,1,2,1.8749,1.022601,0,1,data\data_cw\images_raw\1762602128078_000028.jpg,data\data_cw\images_crop\1762602128078_000028.jpg,data\data_cw\masks\1762602128078_000028.png,data\data_cw\overlays\1762602128078_000028.jpg
1762602128148_000029,1762602128,cw,960,544,556.017,425.908,0.57918,0.78292,74467,0.142592,0.60545,2.34615,0.16087,173,258,671,286,0.38804,AND,1,0,0,1.022601,0,0,data\data_cw\images_raw\1762602128148_000029.jpg,data\data_cw\images_crop\1762602128148_000029.jpg,data\data_cw\masks\1762602128148_000029.png,data\data_cw\overlays\1762602128148_000029.jpg
1762602128461_000030,1762602128,cw,960,544,579.836,293.991,0.604,0.54042,45115,0.086388,0.88649,1.10943,0.57177,433,163,294,265,0.57907,AND,0,1,-1.838549,1.564098,0,1,data\data_cw\images_raw\1762602128461_000030.jpg,data\data_cw\images_crop\1762602128461_000030.jpg,data\data_cw\masks\1762602128461_000030.png,data\data_cw\overlays\1762602128461_000030.jpg
1762602128655_000031,1762602129,cw,960,544,650.772,277.129,0.67789,0.50943,42392,0.081173,0.93947,0.93145,0.69577,538,163,231,248,0.73998,AND,0,1,-1.141148,1.260754,0,1,data\data_cw\images_raw\1762602128655_000031.jpg,data\data_cw\images_crop\1762602128655_000031.jpg,data\data_cw\masks\1762602128655_000031.png,data\data_cw\overlays\1762602128655_000031.jpg
1762602128874_000032,1762602129,cw,960,544,699.622,332.577,0.72877,0.61135,47561,0.091071,0.91556,0.7044,0.58822,594,163,224,318,0.66769,AND,1,1,-0.347362,1.097315,0,1,data\data_cw\images_raw\1762602128874_000032.jpg,data\data_cw\images_crop\1762602128874_000032.jpg,data\data_cw\masks\1762602128874_000032.png,data\data_cw\overlays\1762602128874_000032.jpg
1762602129081_000033,1762602129,cw,960,544,652.532,410.806,0.67972,0.75516,43643,0.083569,0.80353,1.04231,0.20314,527,284,271,260,0.6194,AND,3,2,0,1.097315,0,0,data\data_cw\images_raw\1762602129081_000033.jpg,data\data_cw\images_crop\1762602129081_000033.jpg,data\data_cw\masks\1762602129081_000033.png,data\data_cw\overlays\1762602129081_000033.jpg
1762602129245_000034,1762602129,cw,960,544,586.699,366.051,0.61115,0.67289,40152,0.076884,0.89693,1.08511,0.63969,471,247,255,235,0.67004,AND,0,1,0,1.097315,0,0,data\data_cw\images_raw\1762602129245_000034.jpg,data\data_cw\images_crop\1762602129245_000034.jpg,data\data_cw\masks\1762602129245_000034.png,data\data_cw\overlays\1762602129245_000034.jpg
1762602129488_000035,1762602129,cw,960,544,565.023,295.486,0.58857,0.54317,42285,0.080969,0.8828,1.02652,0.58264,435,163,271,264,0.59104,AND,0,1,-2.241122,0.050439,0.050439,0,data\data_cw\images_raw\1762602129488_000035.jpg,data\data_cw\images_crop\1762602129488_000035.jpg,data\data_cw\masks\1762602129488_000035.png,data\data_cw\overlays\1762602129488_000035.jpg
1762602129665_000036,1762602130,cw,960,544,630.973,268.749,0.65726,0.49402,39078,0.074829,0.93797,1,0.68623,514,163,234,234,0.71368,AND,0,1,-1.373994,0.33628,0,1,data\data_cw\images_raw\1762602129665_000036.jpg,data\data_cw\images_crop\1762602129665_000036.jpg,data\data_cw\masks\1762602129665_000036.png,data\data_cw\overlays\1762602129665_000036.jpg
1762602129891_000037,1762602130,cw,960,544,712.816,305.154,0.74252,0.56094,47047,0.090088,0.93597,0.7972,0.66265,609,163,228,286,0.7215,AND,1,2,-0.376611,0.567666,0,1,data\data_cw\images_raw\1762602129891_000037.jpg,data\data_cw\images_crop\1762602129891_000037.jpg,data\data_cw\masks\1762602129891_000037.png,data\data_cw\overlays\1762602129891_000037.jpg
1762602129961_000038,1762602130,cw,960,544,634.675,424.381,0.66112,0.78011,60673,0.116178,0.55273,2.19795,0.15188,172,251,644,293,0.32155,AND,0,0,1.523797,1.034126,0,1,data\data_cw\images_raw\1762602129961_000038.jpg,data\data_cw\images_crop\1762602129961_000038.jpg,data\data_cw\masks\1762602129961_000038.png,data\data_cw\overlays\1762602129961_000038.jpg
1762602130271_000039,1762602130,cw,960,544,598.262,448.246,0.62319,0.82398,45686,0.087482,0.86286,1.52535,0.40728,429,327,331,217,0.63606,AND,1,1,1.896439,0.802606,0,1,data\data_cw\images_raw\1762602130271_000039.jpg,data\data_cw\images_crop\1762602130271_000039.jpg,data\data_cw\masks\1762602130271_000039.png,data\data_cw\overlays\1762602130271_000039.jpg
1762602130494_000040,1762602130,cw,960,544,535.477,385.741,0.55779,0.70908,42039,0.080497,0.85306,1.38182,0.58373,389,280,304,220,0.62857,AND,0,2,2.920263,0.880032,0,1,data\data_cw\images_raw\1762602130494_000040.jpg,data\data_cw\images_crop\1762602130494_000040.jpg,data\data_cw\masks\1762602130494_000040.png,data\data_cw\overlays\1762602130494_000040.jpg
1762602130662_000041,1762602131,cw,960,544,544.775,307.045,0.56747,0.56442,43891,0.084044,0.84396,1.04498,0.52853,390,171,302,289,0.50289,AND,0,1,-2.406779,0.906672,0,1,data\data_cw\images_raw\1762602130662_000041.jpg,data\data_cw\images_crop\1762602130662_000041.jpg,data\data_cw\masks\1762602130662_000041.png,data\data_cw\overlays\1762602130662_000041.jpg
1762602130898_000042,1762602131,cw,960,544,608.991,264.662,0.63437,0.48651,40153,0.076887,0.91007,1.03719,0.59079,482,163,251,242,0.66105,AND,1,2,-1.501878,0.906052,0,1,data\data_cw\images_raw\1762602130898_000042.jpg,data\data_cw\images_crop\1762602130898_000042.jpg,data\data_cw\masks\1762602130898_000042.png,data\data_cw\overlays\1762602130898_000042.jpg
1762602131066_000043,1762602131,cw,960,544,654.771,273.267,0.68205,0.50233,40104,0.076792,0.9307,0.87805,0.64878,550,163,216,246,0.75474,AND,1,1,-0.94974,0.782182,0,1,data\data_cw\images_raw\1762602131066_000043.jpg,data\data_cw\images_crop\1762602131066_000043.jpg,data\data_cw\masks\1762602131066_000043.png,data\data_cw\overlays\1762602131066_000043.jpg
1762602131294_000044,1762602131,cw,960,544,643.632,338.959,0.67045,0.62309,34754,0.066549,0.86565,0.89024,0.41136,544,211,219,246,0.64511,AND,1,1,0,0.782182,0,0,data\data_cw\images_raw\1762602131294_000044.jpg,data\data_cw\images_crop\1762602131294_000044.jpg,data\data_cw\masks\1762602131294_000044.png,data\data_cw\overlays\1762602131294_000044.jpg
1762602131490_000045,1762602131,cw,960,544,576.672,339.135,0.6007,0.62341,30005,0.057455,0.8911,1.09615,0.60226,474,238,228,208,0.63271,AND,1,2,0,0.782182,0,0,data\data_cw\images_raw\1762602131490_000045.jpg,data\data_cw\images_crop\1762602131490_000045.jpg,data\data_cw\masks\1762602131490_000045.png,data\data_cw\overlays\1762602131490_000045.jpg
1762602131571_000046,1762602132,cw,960,544,550.563,303.245,0.5735,0.55744,36570,0.070026,0.73837,0.86575,0.26043,426,163,316,365,0.31707,AND,0,0,0,0.782182,0,0,data\data_cw\images_raw\1762602131571_000046.jpg,data\data_cw\images_crop\1762602131571_000046.jpg,data\data_cw\masks\1762602131571_000046.png,data\data_cw\overlays\1762602131571_000046.jpg
1762602131898_000047,1762602132,cw,960,544,524.121,256.661,0.54596,0.4718,27430,0.052525,0.88799,0.81735,0.49117,435,163,179,219,0.69974,AND,2,1,-2.376021,0.00922,0.00922,0,data\data_cw\images_raw\1762602131898_000047.jpg,data\data_cw\images_crop\1762602131898_000047.jpg,data\data_cw\masks\1762602131898_000047.png,data\data_cw\overlays\1762602131898_000047.jpg
1762602132078_000048,1762602132,cw,960,544,539.354,262.836,0.56183,0.48316,26749,0.051221,0.88034,0.73913,0.53748,463,163,170,230,0.68413,AND,1,1,0,0.00922,0.008759,0,data\data_cw\images_raw\1762602132078_000048.jpg,data\data_cw\images_crop\1762602132078_000048.jpg,data\data_cw\masks\1762602132078_000048.png,data\data_cw\overlays\1762602132078_000048.jpg
1762602132288_000049,1762602132,cw,960,544,547.51,292.407,0.57032,0.53751,27571,0.052794,0.81063,0.631,0.33706,469,163,171,271,0.59496,AND,2,1,0,0.00922,0.008321,0,data\data_cw\images_raw\1762602132288_000049.jpg,data\data_cw\images_crop\1762602132288_000049.jpg,data\data_cw\masks\1762602132288_000049.png,data\data_cw\overlays\1762602132288_000049.jpg
1762602132479_000050,1762602132,cw,960,544,537.298,362.751,0.55969,0.66682,24210,0.046359,0.87508,0.83886,0.42472,450,260,177,211,0.64826,AND,1,1,0,0.00922,0.007905,0,data\data_cw\images_raw\1762602132479_000050.jpg,data\data_cw\images_crop\1762602132479_000050.jpg,data\data_cw\masks\1762602132479_000050.png,data\data_cw\overlays\1762602132479_000050.jpg
1762602132705_000051,1762602133,cw,960,544,474.827,391.369,0.49461,0.71943,24448,0.046815,0.89993,0.97861,0.54769,382,301,183,187,0.71443,AND,1,2,2.479663,-0.493633,0,-1,data\data_cw\images_raw\1762602132705_000051.jpg,data\data_cw\images_crop\1762602132705_000051.jpg,data\data_cw\masks\1762602132705_000051.png,data\data_cw\overlays\1762602132705_000051.jpg
1762602132869_000052,1762602133,cw,960,544,451.245,361.655,0.47005,0.66481,20401,0.039065,0.80745,0.97436,0.39692,367,265,190,195,0.55065,AND,1,1,2.829633,-0.198372,-0.198372,0,data\data_cw\images_raw\1762602132869_000052.jpg,data\data_cw\images_crop\1762602132869_000052.jpg,data\data_cw\masks\1762602132869_000052.png,data\data_cw\overlays\1762602132869_000052.jpg
1762602133134_000053,1762602133,cw,960,544,429.887,303.707,0.4478,0.55829,27616,0.05288,0.85915,0.81224,0.46682,341,179,199,245,0.56642,AND,1,1,-2.885005,0.07005,-0.118403,0,data\data_cw\images_raw\1762602133134_000053.jpg,data\data_cw\images_crop\1762602133134_000053.jpg,data\data_cw\masks\1762602133134_000053.png,data\data_cw\overlays\1762602133134_000053.jpg
1762602133308_000054,1762602133,cw,960,544,473.955,280.665,0.4937,0.51593,26173,0.050118,0.88263,0.67623,0.45625,397,163,165,244,0.65011,AND,1,1,0,0.07005,-0.112483,0,data\data_cw\images_raw\1762602133308_000054.jpg,data\data_cw\images_crop\1762602133308_000054.jpg,data\data_cw\masks\1762602133308_000054.png,data\data_cw\overlays\1762602133308_000054.jpg
1762602133497_000055,1762602133,cw,960,544,528.31,300.253,0.55032,0.55194,26797,0.051312,0.82592,0.61314,0.43492,452,163,168,274,0.58214,AND,1,1,0,0.07005,-0.106859,0,data\data_cw\images_raw\1762602133497_000055.jpg,data\data_cw\images_crop\1762602133497_000055.jpg,data\data_cw\masks\1762602133497_000055.png,data\data_cw\overlays\1762602133497_000055.jpg
1762602133700_000056,1762602134,cw,960,544,548.954,371.269,0.57183,0.68248,24985,0.047843,0.88738,0.8216,0.47457,462,261,175,213,0.6703,AND,1,1,0,0.07005,-0.101516,0,data\data_cw\images_raw\1762602133700_000056.jpg,data\data_cw\images_crop\1762602133700_000056.jpg,data\data_cw\masks\1762602133700_000056.png,data\data_cw\overlays\1762602133700_000056.jpg
1762602133898_000057,1762602134,cw,960,544,484.191,429.11,0.50437,0.78881,21291,0.040769,0.8869,1.04046,0.37617,397,346,180,173,0.68372,AND,3,1,1.930541,-0.468141,0,-1,data\data_cw\images_raw\1762602133898_000057.jpg,data\data_cw\images_crop\1762602133898_000057.jpg,data\data_cw\masks\1762602133898_000057.png,data\data_cw\overlays\1762602133898_000057.jpg
1762602134107_000058,1762602134,cw,960,544,420.021,402.107,0.43752,0.73917,24355,0.046636,0.85778,1.35542,0.53002,325,317,225,166,0.65207,AND,0,2,2.58392,-0.075609,-0.075609,0,data\data_cw\images_raw\1762602134107_000058.jpg,data\data_cw\images_crop\1762602134107_000058.jpg,data\data_cw\masks\1762602134107_000058.png,data\data_cw\overlays\1762602134107_000058.jpg
1762602134181_000059,1762602134,cw,960,544,416.191,355.858,0.43353,0.65415,31179,0.059702,0.70502,1.04545,0.28432,293,236,322,308,0.31438,AND,0,0,3.081082,0.124861,0.053032,0,data\data_cw\images_raw\1762602134181_000059.jpg,data\data_cw\images_crop\1762602134181_000059.jpg,data\data_cw\masks\1762602134181_000059.png,data\data_cw\overlays\1762602134181_000059.jpg
1762602134493_000060,1762602134,cw,960,544,423.325,289.525,0.44096,0.53222,29546,0.056576,0.87919,0.7907,0.53558,328,163,204,258,0.56137,AND,0,1,-2.390474,0.36523,0,1,data\data_cw\images_raw\1762602134493_000060.jpg,data\data_cw\images_crop\1762602134493_000060.jpg,data\data_cw\masks\1762602134493_000060.png,data\data_cw\overlays\1762602134493_000060.jpg
1762602134699_000061,1762602135,cw,960,544,493.107,289.411,0.51365,0.53201,29948,0.057346,0.88672,0.67181,0.46753,414,163,174,259,0.66455,AND,1,1,0,0.36523,0,0,data\data_cw\images_raw\1762602134699_000061.jpg,data\data_cw\images_crop\1762602134699_000061.jpg,data\data_cw\masks\1762602134699_000061.png,data\data_cw\overlays\1762602134699_000061.jpg
1762602134898_000062,1762602135,cw,960,544,542.896,333.056,0.56552,0.61224,30403,0.058217,0.87912,0.66912,0.46866,456,195,182,272,0.61415,AND,1,1,0,0.36523,0,0,data\data_cw\images_raw\1762602134898_000062.jpg,data\data_cw\images_crop\1762602134898_000062.jpg,data\data_cw\masks\1762602134898_000062.png,data\data_cw\overlays\1762602134898_000062.jpg
1762602135136_000063,1762602135,cw,960,544,512.763,414.333,0.53413,0.76164,24899,0.047678,0.90008,0.93367,0.38598,424,319,183,196,0.6942,AND,3,1,1.304505,-0.668473,0,-1,data\data_cw\images_raw\1762602135136_000063.jpg,data\data_cw\images_crop\1762602135136_000063.jpg,data\data_cw\masks\1762602135136_000063.png,data\data_cw\overlays\1762602135136_000063.jpg
1762602135329_000064,1762602135,cw,960,544,454.033,422.564,0.47295,0.77677,24436,0.046791,0.92904,1.1747,0.68065,362,336,195,166,0.7549,AND,0,2,2.053891,-0.172222,-0.172222,0,data\data_cw\images_raw\1762602135329_000064.jpg,data\data_cw\images_crop\1762602135329_000064.jpg,data\data_cw\masks\1762602135329_000064.png,data\data_cw\overlays\1762602135329_000064.jpg
1762602135487_000065,1762602135,cw,960,544,424.717,363.895,0.44241,0.66893,27019,0.051738,0.86111,1.0804,0.54006,329,271,215,199,0.63152,AND,0,1,0,-0.172222,-0.163611,0,data\data_cw\images_raw\1762602135487_000065.jpg,data\data_cw\images_crop\1762602135487_000065.jpg,data\data_cw\masks\1762602135487_000065.png,data\data_cw\overlays\1762602135487_000065.jpg
1762602135714_000066,1762602136,cw,960,544,422.65,302.641,0.44026,0.55633,29874,0.057204,0.86972,0.85141,0.53258,323,175,212,249,0.56592,AND,1,1,-2.357079,0.543331,0,1,data\data_cw\images_raw\1762602135714_000066.jpg,data\data_cw\images_crop\1762602135714_000066.jpg,data\data_cw\masks\1762602135714_000066.png,data\data_cw\overlays\1762602135714_000066.jpg
1762602135910_000067,1762602136,cw,960,544,462.468,276.447,0.48174,0.50817,30265,0.057953,0.89608,0.7562,0.57059,373,163,183,242,0.68341,AND,1,1,0,0.543331,0,0,data\data_cw\images_raw\1762602135910_000067.jpg,data\data_cw\images_crop\1762602135910_000067.jpg,data\data_cw\masks\1762602135910_000067.png,data\data_cw\overlays\1762602135910_000067.jpg
1762602136123_000068,1762602136,cw,960,544,521.278,293.814,0.543,0.5401,32330,0.061907,0.89666,0.68045,0.53932,440,163,181,266,0.67151,AND,1,2,0,0.543331,0,0,data\data_cw\images_raw\1762602136123_000068.jpg,data\data_cw\images_crop\1762602136123_000068.jpg,data\data_cw\masks\1762602136123_000068.png,data\data_cw\overlays\1762602136123_000068.jpg
1762602136292_000069,1762602136,cw,960,544,547.355,348.268,0.57016,0.6402,31654,0.060613,0.88836,0.67273,0.48157,460,212,185,275,0.6222,AND,1,1,0,0.543331,0,0,data\data_cw\images_raw\1762602136292_000069.jpg,data\data_cw\images_crop\1762602136292_000069.jpg,data\data_cw\masks\1762602136292_000069.png,data\data_cw\overlays\1762602136292_000069.jpg
1762602136519_000070,1762602137,cw,960,544,500.741,408.292,0.52161,0.75054,26273,0.050309,0.92805,0.97396,0.63157,408,312,187,192,0.73177,AND,1,2,0,0.543331,0,0,data\data_cw\images_raw\1762602136519_000070.jpg,data\data_cw\images_crop\1762602136519_000070.jpg,data\data_cw\masks\1762602136519_000070.png,data\data_cw\overlays\1762602136519_000070.jpg
