image_id,time_s,w,h,cx,cy,cx_n,cy_n,area,area_norm,solidity,aspect_ratio,circularity,bbox_x,bbox_y,bbox_w,bbox_h,extent,mask_fuse,finger_count,prior,prior_nboxes,gesture,label,path_raw,path_crop,path_mask,path_overlay
1762560877844_000032,1762560877.844,640,480,405.414,332.997,0.63346,0.69374,26648,0.086745,0.63873,0.77855,0.16545,280,180,225,289,0.40981,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877844_000032.jpg,data_play\images_crop\1762560877844_000032.jpg,data_play\masks\1762560877844_000032.png,data_play\overlays\1762560877844_000032.jpg
1762560877939_000033,1762560877.939,640,480,404.074,336.2,0.63137,0.70042,25815,0.084035,0.6374,0.77817,0.16389,281,186,221,284,0.41131,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877939_000033.jpg,data_play\images_crop\1762560877939_000033.jpg,data_play\masks\1762560877939_000033.png,data_play\overlays\1762560877939_000033.jpg
1762560878034_000034,1762560878.034,640,480,404.804,336.344,0.63251,0.70072,25332,0.082461,0.64659,0.77305,0.17282,283,187,218,282,0.41206,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878034_000034.jpg,data_play\images_crop\1762560878034_000034.jpg,data_play\masks\1762560878034_000034.png,data_play\overlays\1762560878034_000034.jpg
1762560878130_000035,1762560878.13,640,480,404.121,336.092,0.63144,0.70019,25135,0.08182,0.64328,0.76868,0.16848,283,188,216,281,0.41411,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878130_000035.jpg,data_play\images_crop\1762560878130_000035.jpg,data_play\masks\1762560878130_000035.png,data_play\overlays\1762560878130_000035.jpg
1762560878226_000036,1762560878.226,640,480,403.662,337.153,0.63072,0.7024,25213,0.082074,0.64603,0.75445,0.17486,284,189,212,281,0.42324,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878226_000036.jpg,data_play\images_crop\1762560878226_000036.jpg,data_play\masks\1762560878226_000036.png,data_play\overlays\1762560878226_000036.jpg
1762560878322_000037,1762560878.322,640,480,404.365,338.507,0.63182,0.70522,24865,0.080942,0.64403,0.76071,0.16633,285,191,213,280,0.41693,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878322_000037.jpg,data_play\images_crop\1762560878322_000037.jpg,data_play\masks\1762560878322_000037.png,data_play\overlays\1762560878322_000037.jpg
1762560878419_000038,1762560878.419,640,480,407.113,340.474,0.63611,0.70932,24064,0.078333,0.62895,0.76259,0.14927,288,193,212,278,0.40831,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878419_000038.jpg,data_play\images_crop\1762560878419_000038.jpg,data_play\masks\1762560878419_000038.png,data_play\overlays\1762560878419_000038.jpg
1762560878520_000039,1762560878.52,640,480,410.066,338.464,0.64073,0.70513,23729,0.077244,0.63566,0.75362,0.14843,295,192,208,276,0.41335,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878520_000039.jpg,data_play\images_crop\1762560878520_000039.jpg,data_play\masks\1762560878520_000039.png,data_play\overlays\1762560878520_000039.jpg
1762560878617_000040,1762560878.617,640,480,407.712,337.468,0.63705,0.70306,23552,0.076668,0.6309,0.74638,0.15413,295,190,206,276,0.41425,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878617_000040.jpg,data_play\images_crop\1762560878617_000040.jpg,data_play\masks\1762560878617_000040.png,data_play\overlays\1762560878617_000040.jpg
1762560878714_000041,1762560878.714,640,480,404.842,339.748,0.63257,0.70781,22990,0.074839,0.62757,0.73913,0.14547,291,192,204,276,0.40833,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878714_000041.jpg,data_play\images_crop\1762560878714_000041.jpg,data_play\masks\1762560878714_000041.png,data_play\overlays\1762560878714_000041.jpg
1762560878808_000042,1762560878.808,640,480,403.237,339.247,0.63006,0.70676,23239,0.075649,0.63082,0.74909,0.14735,288,193,206,275,0.41023,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878808_000042.jpg,data_play\images_crop\1762560878808_000042.jpg,data_play\masks\1762560878808_000042.png,data_play\overlays\1762560878808_000042.jpg
1762560878901_000043,1762560878.901,640,480,401.43,340.571,0.62724,0.70952,23112,0.075236,0.62698,0.75735,0.14603,286,197,206,272,0.41249,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560878901_000043.jpg,data_play\images_crop\1762560878901_000043.jpg,data_play\masks\1762560878901_000043.png,data_play\overlays\1762560878901_000043.jpg
1762560879001_000044,1762560879.001,640,480,399.892,339.061,0.62483,0.70638,23117,0.075251,0.64174,0.74265,0.15375,287,195,202,272,0.42074,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879001_000044.jpg,data_play\images_crop\1762560879001_000044.jpg,data_play\masks\1762560879001_000044.png,data_play\overlays\1762560879001_000044.jpg
1762560879107_000045,1762560879.107,640,480,398.591,339.732,0.6228,0.70777,23034,0.07498,0.63294,0.74088,0.14695,285,194,203,274,0.41412,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879107_000045.jpg,data_play\images_crop\1762560879107_000045.jpg,data_play\masks\1762560879107_000045.png,data_play\overlays\1762560879107_000045.jpg
1762560879210_000046,1762560879.21,640,480,398.452,339.543,0.62258,0.70738,23370,0.076076,0.63511,0.74545,0.1511,283,194,205,275,0.41455,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879210_000046.jpg,data_play\images_crop\1762560879210_000046.jpg,data_play\masks\1762560879210_000046.png,data_play\overlays\1762560879210_000046.jpg
1762560879311_000047,1762560879.311,640,480,398.407,341.874,0.62251,0.71224,22776,0.074142,0.62627,0.75368,0.13879,283,197,205,272,0.40847,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879311_000047.jpg,data_play\images_crop\1762560879311_000047.jpg,data_play\masks\1762560879311_000047.png,data_play\overlays\1762560879311_000047.jpg
1762560879410_000048,1762560879.41,640,480,400.616,337.66,0.62596,0.70346,22833,0.074328,0.63046,0.73993,0.14974,285,192,202,273,0.41406,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879410_000048.jpg,data_play\images_crop\1762560879410_000048.jpg,data_play\masks\1762560879410_000048.png,data_play\overlays\1762560879410_000048.jpg
1762560879507_000049,1762560879.507,640,480,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,HSV,-1,mediapipe,1,No Hand,play,data_play\images_raw\1762560879507_000049.jpg,,data_play\masks\1762560879507_000049.png,data_play\overlays\1762560879507_000049.jpg
1762560879606_000050,1762560879.606,640,480,401.607,333.014,0.62751,0.69378,22557,0.073429,0.63449,0.73063,0.14013,291,189,198,271,0.42039,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879606_000050.jpg,data_play\images_crop\1762560879606_000050.jpg,data_play\masks\1762560879606_000050.png,data_play\overlays\1762560879606_000050.jpg
1762560879707_000051,1762560879.707,640,480,401.583,333.007,0.62747,0.69376,22924,0.074622,0.63659,0.73626,0.14877,290,188,201,273,0.41776,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879707_000051.jpg,data_play\images_crop\1762560879707_000051.jpg,data_play\masks\1762560879707_000051.png,data_play\overlays\1762560879707_000051.jpg
1762560879806_000052,1762560879.806,640,480,406.7,331.479,0.63547,0.69058,23211,0.075558,0.65539,0.76604,0.17666,292,194,203,265,0.43148,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879806_000052.jpg,data_play\images_crop\1762560879806_000052.jpg,data_play\masks\1762560879806_000052.png,data_play\overlays\1762560879806_000052.jpg
1762560879907_000053,1762560879.907,640,480,414.273,330.908,0.6473,0.68939,21683,0.070584,0.66511,0.70229,0.16671,312,195,184,262,0.44979,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560879907_000053.jpg,data_play\images_crop\1762560879907_000053.jpg,data_play\masks\1762560879907_000053.png,data_play\overlays\1762560879907_000053.jpg
1762560880008_000054,1762560880.008,640,480,418.233,327.927,0.65349,0.68318,20558,0.066921,0.67387,0.62362,0.16807,322,184,169,271,0.44887,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560880008_000054.jpg,data_play\images_crop\1762560880008_000054.jpg,data_play\masks\1762560880008_000054.png,data_play\overlays\1762560880008_000054.jpg
1762560880111_000055,1762560880.111,640,480,426.08,326.875,0.66575,0.68099,17219,0.056053,0.7378,0.41697,0.23314,363,182,113,271,0.56231,YCrCb,1,mediapipe,1,Point,play,data_play\images_raw\1762560880111_000055.jpg,data_play\images_crop\1762560880111_000055.jpg,data_play\masks\1762560880111_000055.png,data_play\overlays\1762560880111_000055.jpg
1762560880211_000056,1762560880.211,640,480,435.61,340.143,0.68064,0.70863,12446,0.040514,0.70668,0.36154,0.21326,388,193,94,260,0.50925,YCrCb,1,mediapipe,1,Point,play,data_play\images_raw\1762560880211_000056.jpg,data_play\images_crop\1762560880211_000056.jpg,data_play\masks\1762560880211_000056.png,data_play\overlays\1762560880211_000056.jpg
1762560880310_000057,1762560880.31,640,480,410.884,324.244,0.64201,0.67551,2048,0.006668,0.84266,0.29412,0.41146,398,277,30,102,0.66944,HSV,0,mediapipe,1,Fist,play,data_play\images_raw\1762560880310_000057.jpg,data_play\images_crop\1762560880310_000057.jpg,data_play\masks\1762560880310_000057.png,data_play\overlays\1762560880310_000057.jpg
1762560880426_000058,1762560880.426,640,480,439.336,330.123,0.68646,0.68776,13640,0.044403,0.84679,0.34211,0.32327,392,185,91,266,0.56352,YCrCb,1,mediapipe,2,Point,play,data_play\images_raw\1762560880426_000058.jpg,data_play\images_crop\1762560880426_000058.jpg,data_play\masks\1762560880426_000058.png,data_play\overlays\1762560880426_000058.jpg
1762560880507_000059,1762560880.507,640,480,432.209,323.954,0.67533,0.6749,16700,0.054364,0.82686,0.4403,0.33593,365,181,118,268,0.5281,YCrCb,2,mediapipe,1,Peace,play,data_play\images_raw\1762560880507_000059.jpg,data_play\images_crop\1762560880507_000059.jpg,data_play\masks\1762560880507_000059.png,data_play\overlays\1762560880507_000059.jpg
1762560880603_000060,1762560880.603,640,480,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,HSV,-1,mediapipe,1,No Hand,play,data_play\images_raw\1762560880603_000060.jpg,,data_play\masks\1762560880603_000060.png,data_play\overlays\1762560880603_000060.jpg
1762560880694_000061,1762560880.694,640,480,419.58,323.034,0.65559,0.67299,19263,0.062705,0.79185,0.50758,0.25174,338,183,134,264,0.54452,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560880694_000061.jpg,data_play\images_crop\1762560880694_000061.jpg,data_play\masks\1762560880694_000061.png,data_play\overlays\1762560880694_000061.jpg
1762560880785_000062,1762560880.785,640,480,410.537,326.322,0.64146,0.67984,20483,0.066676,0.74754,0.57836,0.22995,319,183,155,268,0.49309,YCrCb,5,mediapipe,1,Open Hand,play,data_play\images_raw\1762560880785_000062.jpg,data_play\images_crop\1762560880785_000062.jpg,data_play\masks\1762560880785_000062.png,data_play\overlays\1762560880785_000062.jpg
1762560880876_000063,1762560880.876,640,480,400.053,331.533,0.62508,0.69069,21080,0.06862,0.72666,0.62963,0.24687,301,185,170,270,0.45926,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560880876_000063.jpg,data_play\images_crop\1762560880876_000063.jpg,data_play\masks\1762560880876_000063.png,data_play\overlays\1762560880876_000063.jpg
1762560880969_000064,1762560880.969,640,480,390.68,334.971,0.61044,0.69786,22208,0.072292,0.70293,0.69118,0.22905,290,187,188,272,0.43429,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560880969_000064.jpg,data_play\images_crop\1762560880969_000064.jpg,data_play\masks\1762560880969_000064.png,data_play\overlays\1762560880969_000064.jpg
1762560881059_000065,1762560881.059,640,480,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,HSV,-1,mediapipe,1,No Hand,play,data_play\images_raw\1762560881059_000065.jpg,,data_play\masks\1762560881059_000065.png,data_play\overlays\1762560881059_000065.jpg
1762560881148_000066,1762560881.148,640,480,378.097,342.757,0.59078,0.71408,23205,0.075537,0.65937,0.73477,0.18867,273,188,205,279,0.40572,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881148_000066.jpg,data_play\images_crop\1762560881148_000066.jpg,data_play\masks\1762560881148_000066.png,data_play\overlays\1762560881148_000066.jpg
1762560881243_000067,1762560881.243,640,480,374.814,342.323,0.58565,0.71317,23363,0.076053,0.63385,0.80303,0.17454,268,200,212,264,0.41744,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560881243_000067.jpg,data_play\images_crop\1762560881243_000067.jpg,data_play\masks\1762560881243_000067.png,data_play\overlays\1762560881243_000067.jpg
1762560881338_000068,1762560881.338,640,480,372.553,336.531,0.58211,0.70111,24841,0.080863,0.6317,0.74468,0.15799,267,182,210,282,0.41947,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881338_000068.jpg,data_play\images_crop\1762560881338_000068.jpg,data_play\masks\1762560881338_000068.png,data_play\overlays\1762560881338_000068.jpg
1762560881433_000069,1762560881.433,640,480,371.108,335.399,0.57986,0.69875,25255,0.08221,0.6129,0.76842,0.15481,264,179,219,285,0.40463,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881433_000069.jpg,data_play\images_crop\1762560881433_000069.jpg,data_play\masks\1762560881433_000069.png,data_play\overlays\1762560881433_000069.jpg
1762560881530_000070,1762560881.53,640,480,369.937,332.918,0.57803,0.69358,25325,0.08244,0.61471,0.76761,0.15302,263,178,218,284,0.40906,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881530_000070.jpg,data_play\images_crop\1762560881530_000070.jpg,data_play\masks\1762560881530_000070.png,data_play\overlays\1762560881530_000070.jpg
1762560881628_000071,1762560881.628,640,480,369.366,333.724,0.57713,0.69526,25295,0.082342,0.61437,0.76408,0.15547,263,178,217,284,0.41045,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881628_000071.jpg,data_play\images_crop\1762560881628_000071.jpg,data_play\masks\1762560881628_000071.png,data_play\overlays\1762560881628_000071.jpg
1762560881723_000072,1762560881.723,640,480,368.761,335.016,0.57619,0.69795,25576,0.083255,0.61151,0.76224,0.15004,263,179,218,286,0.41021,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881723_000072.jpg,data_play\images_crop\1762560881723_000072.jpg,data_play\masks\1762560881723_000072.png,data_play\overlays\1762560881723_000072.jpg
1762560881817_000073,1762560881.817,640,480,367.658,335.365,0.57447,0.69868,25690,0.083626,0.61232,0.75694,0.15563,261,178,218,288,0.40918,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881817_000073.jpg,data_play\images_crop\1762560881817_000073.jpg,data_play\masks\1762560881817_000073.png,data_play\overlays\1762560881817_000073.jpg
1762560881912_000074,1762560881.912,640,480,366.739,335.653,0.57303,0.69928,26114,0.085007,0.62366,0.75087,0.15638,258,179,217,289,0.4164,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560881912_000074.jpg,data_play\images_crop\1762560881912_000074.jpg,data_play\masks\1762560881912_000074.png,data_play\overlays\1762560881912_000074.jpg
1762560882005_000075,1762560882.005,640,480,367.149,336.8,0.57367,0.70167,26140,0.085091,0.62312,0.75433,0.15942,258,180,218,289,0.41491,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560882005_000075.jpg,data_play\images_crop\1762560882005_000075.jpg,data_play\masks\1762560882005_000075.png,data_play\overlays\1762560882005_000075.jpg
1762560882099_000076,1762560882.099,640,480,367.362,335.822,0.574,0.69963,25982,0.084578,0.62499,0.76224,0.1568,257,181,218,286,0.41673,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560882099_000076.jpg,data_play\images_crop\1762560882099_000076.jpg,data_play\masks\1762560882099_000076.png,data_play\overlays\1762560882099_000076.jpg
1762560882193_000077,1762560882.193,640,480,367.236,336.442,0.57381,0.70092,26212,0.085326,0.62502,0.76307,0.16166,257,182,219,287,0.41704,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560882193_000077.jpg,data_play\images_crop\1762560882193_000077.jpg,data_play\masks\1762560882193_000077.png,data_play\overlays\1762560882193_000077.jpg
